# Logfile created on 2015-06-13 20:15:47 +0200 by logger.rb/v1.2.7
D, [2015-06-13T20:15:47.404199 #5687] DEBUG -- : MONGODB | Adding 127.0.0.1:27017 to the cluster. | runtime: 0.0134ms
D, [2015-06-13T20:15:47.608938 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x32892480 data=557c7353726a751637000003>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2012ms
D, [2015-06-13T20:15:47.611606 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"invalid"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2456ms
D, [2015-06-13T20:15:47.613423 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 1.0676ms
D, [2015-06-13T20:15:47.617437 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"yGagBVH/a9PojkH5XEO2pA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3650ms
D, [2015-06-13T20:15:47.618449 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title", "text"=>"Text", "user_id"=>"557c7353726a751637000000", "_id"=><BSON::ObjectId:0x33343580 data=557c7353726a751637000004>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.5329ms
D, [2015-06-13T20:15:47.619588 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.4354ms
D, [2015-06-13T20:15:47.620853 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"yGagBVH/a9PojkH5XEO2pA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2470ms
D, [2015-06-13T20:15:47.621752 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title", "text"=>"Text", "user_id"=>"557c7353726a751637000000", "_id"=><BSON::ObjectId:0x33454800 data=557c7353726a751637000005>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.4997ms
D, [2015-06-13T20:15:47.622850 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.3910ms
D, [2015-06-13T20:15:47.624061 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"yGagBVH/a9PojkH5XEO2pA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2475ms
D, [2015-06-13T20:15:47.624923 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title", "text"=>"Text", "user_id"=>"557c7353726a751637000000", "_id"=><BSON::ObjectId:0x33540800 data=557c7353726a751637000006>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.4847ms
D, [2015-06-13T20:15:47.625618 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2592ms
D, [2015-06-13T20:15:47.631010 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.4220ms
D, [2015-06-13T20:15:47.633081 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"yGagBVH/a9PojkH5XEO2pA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.5178ms
D, [2015-06-13T20:15:47.634220 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:count=>"post", :query=>{}} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.3188ms
D, [2015-06-13T20:15:47.635006 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.2761ms
D, [2015-06-13T20:15:47.636958 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.3352ms
D, [2015-06-13T20:15:47.638366 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"invalid"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2308ms
D, [2015-06-13T20:15:47.640236 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 4", "text"=>"Text 4", "user_id"=>"557c7353726a751637000000", "_id"=><BSON::ObjectId:0x32762940 data=557c7353726a751637000007>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.5019ms
D, [2015-06-13T20:15:47.642102 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"yGagBVH/a9PojkH5XEO2pA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3178ms
D, [2015-06-13T20:15:47.642615 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x32542600 data=557c7353726a751637000007>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2122ms
D, [2015-06-13T20:15:47.643260 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"post", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x32540060 data=557c7353726a751637000007>}, :u=>{"title"=>"new_name", "text"=>"new_text", "user_id"=>"557c7353726a751637000000"}, :multi=>false, :upsert=>true}], :writeConcern=>{:w=>1}, :ordere... flags=[] limit=-1 skip=0 project=nil | runtime: 0.2818ms
D, [2015-06-13T20:15:47.644576 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 5", "text"=>"Text 5", "user_id"=>"557c7353726a751637000000", "_id"=><BSON::ObjectId:0x32385380 data=557c7353726a751637000008>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.2823ms
D, [2015-06-13T20:15:47.645941 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"yGagBVH/a9PojkH5XEO2pA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2899ms
D, [2015-06-13T20:15:47.646601 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x32301340 data=557c7353726a751637000008>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.1969ms
D, [2015-06-13T20:15:47.647398 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"post", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x32208640 data=557c7353726a751637000008>}, :u=>{"title"=>"new_name", "text"=>"new_text", "user_id"=>"557c7353726a751637000000"}, :multi=>false, :upsert=>true}], :writeConcern=>{:w=>1}, :ordere... flags=[] limit=-1 skip=0 project=nil | runtime: 0.4706ms
D, [2015-06-13T20:15:47.648813 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 6", "text"=>"Text 6", "user_id"=>"557c7353726a751637000000", "_id"=><BSON::ObjectId:0x32037900 data=557c7353726a751637000009>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.3154ms
D, [2015-06-13T20:15:47.650131 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"yGagBVH/a9PojkH5XEO2pA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2458ms
D, [2015-06-13T20:15:47.650697 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x31970460 data=557c7353726a751637000009>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.1915ms
D, [2015-06-13T20:15:47.651366 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"post", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x31967900 data=557c7353726a751637000009>}, :u=>{"title"=>"new_name", "text"=>"new_text", "user_id"=>"557c7353726a751637000000"}, :multi=>false, :upsert=>true}], :writeConcern=>{:w=>1}, :ordere... flags=[] limit=-1 skip=0 project=nil | runtime: 0.2854ms
D, [2015-06-13T20:15:47.651999 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x31885640 data=557c7353726a751637000009>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2239ms
D, [2015-06-13T20:15:47.653119 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 7", "text"=>"Text 7", "user_id"=>"557c7353726a751637000000", "_id"=><BSON::ObjectId:0x31803600 data=557c7353726a75163700000a>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.2799ms
D, [2015-06-13T20:15:47.655542 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 8", "text"=>"Text 8", "user_id"=>"557c7353726a751637000000", "_id"=><BSON::ObjectId:0x31664080 data=557c7353726a75163700000b>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.3285ms
D, [2015-06-13T20:15:47.656765 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"invalid"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2441ms
D, [2015-06-13T20:15:47.657933 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.4144ms
D, [2015-06-13T20:15:47.662851 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 9", "text"=>"Text 9", "user_id"=>"557c7353726a751637000000", "_id"=><BSON::ObjectId:0x31429560 data=557c7353726a75163700000c>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 4.3073ms
D, [2015-06-13T20:15:47.664359 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"yGagBVH/a9PojkH5XEO2pA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2913ms
D, [2015-06-13T20:15:47.664844 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x31331780 data=557c7353726a75163700000c>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.1650ms
D, [2015-06-13T20:15:47.665360 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:delete=>"post", :deletes=>[{:q=>{"_id"=><BSON::ObjectId:0x31328500 data=557c7353726a75163700000c>}, :limit=>1}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.2413ms
D, [2015-06-13T20:15:47.666385 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.4013ms
D, [2015-06-13T20:15:47.667416 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 10", "text"=>"Text 10", "user_id"=>"557c7353726a751637000000", "_id"=><BSON::ObjectId:0x31237660 data=557c7353726a75163700000d>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.4857ms
D, [2015-06-13T20:15:47.668681 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"yGagBVH/a9PojkH5XEO2pA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2496ms
D, [2015-06-13T20:15:47.669151 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x31155140 data=557c7353726a75163700000d>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.1752ms
D, [2015-06-13T20:15:47.669641 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:delete=>"post", :deletes=>[{:q=>{"_id"=><BSON::ObjectId:0x31127740 data=557c7353726a75163700000d>}, :limit=>1}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.2329ms
D, [2015-06-13T20:15:47.670180 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:count=>"post", :query=>{}} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.1974ms
D, [2015-06-13T20:15:47.671057 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.3970ms
D, [2015-06-13T20:15:47.672070 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 11", "text"=>"Text 11", "user_id"=>"557c7353726a751637000000", "_id"=><BSON::ObjectId:0x31050160 data=557c7353726a75163700000e>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.4699ms
D, [2015-06-13T20:15:47.672909 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user2@email.com", :_id=>{"$ne"=>nil}} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2673ms
D, [2015-06-13T20:15:47.673381 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"user", :documents=>[{"email"=>"user2@email.com", "name"=>"User2", "password"=>"7c4a8d09ca3762af61e59520943dc26494f8941b", "_id"=><BSON::ObjectId:0x30964740 data=557c7353726a75163700000f>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.2406ms
D, [2015-06-13T20:15:47.673847 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 12", "text"=>"Text 12", "user_id"=>"557c7353726a75163700000f", "_id"=><BSON::ObjectId:0x30957840 data=557c7353726a751637000010>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.2146ms
D, [2015-06-13T20:15:47.675071 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"yGagBVH/a9PojkH5XEO2pA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2337ms
D, [2015-06-13T20:15:47.675536 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x30825740 data=557c7353726a751637000010>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.1822ms
D, [2015-06-13T20:15:47.676985 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.5031ms
D, [2015-06-13T20:15:47.678094 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 13", "text"=>"Text 13", "user_id"=>"557c7353726a751637000000", "_id"=><BSON::ObjectId:0x30732000 data=557c7353726a751637000011>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.5136ms
D, [2015-06-13T20:15:47.680333 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.4926ms
D, [2015-06-13T20:15:47.681376 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 14", "text"=>"Text 14", "user_id"=>"557c7353726a751637000000", "_id"=><BSON::ObjectId:0x30495580 data=557c7353726a751637000012>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.4766ms
D, [2015-06-13T20:15:47.682706 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"invalid"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2449ms
D, [2015-06-13T20:15:47.685227 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user3@email.com", :_id=>{"$ne"=>nil}} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3798ms
D, [2015-06-13T20:15:47.685939 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"user", :documents=>[{"email"=>"user3@email.com", "name"=>"User3", "password"=>"7c4a8d09ca3762af61e59520943dc26494f8941b", "_id"=><BSON::ObjectId:0x30343540 data=557c7353726a751637000013>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.3419ms
D, [2015-06-13T20:15:47.699043 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"20"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2942ms
D, [2015-06-13T20:15:47.700183 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user4@email.com", :_id=>{"$ne"=>nil}} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2911ms
D, [2015-06-13T20:15:47.700737 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"user", :documents=>[{"email"=>"user4@email.com", "name"=>"User4", "password"=>"7c4a8d09ca3762af61e59520943dc26494f8941b", "_id"=><BSON::ObjectId:0x29760340 data=557c7353726a751637000014>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.2732ms
D, [2015-06-13T20:15:47.701124 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user4@email.com", :password=>"7c4a8d09ca3762af61e59520943dc26494f8941b"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.1941ms
D, [2015-06-13T20:15:47.702104 #5687] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user5@email.com", :_id=>{"$ne"=>nil}} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2754ms
D, [2015-06-13T20:15:47.702629 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"user", :documents=>[{"email"=>"user5@email.com", "name"=>"User5", "password"=>"7c4a8d09ca3762af61e59520943dc26494f8941b", "_id"=><BSON::ObjectId:0x29676760 data=557c7353726a751637000015>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.3076ms
D, [2015-06-13T20:15:47.703372 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 16", "text"=>"Text 16", "user_id"=>"557c7353726a751637000015", "_id"=><BSON::ObjectId:0x29639900 data=557c7353726a751637000016>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.2313ms
D, [2015-06-13T20:15:47.703968 #5687] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 17", "text"=>"Text 17", "user_id"=>"557c7353726a751637000015", "_id"=><BSON::ObjectId:0x29528660 data=557c7353726a751637000017>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.2122ms
