# Logfile created on 2015-07-05 19:07:10 +0200 by logger.rb/v1.2.7
D, [2015-07-05T19:07:10.675802 #5575] DEBUG -- : MONGODB | Adding 127.0.0.1:27017 to the cluster. | runtime: 0.0095ms
D, [2015-07-05T19:07:10.909374 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"gWQU0M6rsDTcw3ELFvsFIg=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3121ms
D, [2015-07-05T19:07:10.910037 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x30736440 data=5599643e726a7515c7000003>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2341ms
D, [2015-07-05T19:07:10.913812 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"invalid"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2875ms
D, [2015-07-05T19:07:10.915812 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 1.1308ms
D, [2015-07-05T19:07:10.919831 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"gWQU0M6rsDTcw3ELFvsFIg=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3896ms
D, [2015-07-05T19:07:10.921148 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title", "text"=>"Text", "user_id"=>"5599643e726a7515c7000000", "_id"=><BSON::ObjectId:0x30051660 data=5599643e726a7515c7000004>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.6576ms
D, [2015-07-05T19:07:10.922868 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.5238ms
D, [2015-07-05T19:07:10.924381 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"gWQU0M6rsDTcw3ELFvsFIg=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2987ms
D, [2015-07-05T19:07:10.925359 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title", "text"=>"Text", "user_id"=>"5599643e726a7515c7000000", "_id"=><BSON::ObjectId:0x29839400 data=5599643e726a7515c7000005>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.4969ms
D, [2015-07-05T19:07:10.926565 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.4373ms
D, [2015-07-05T19:07:10.927915 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"gWQU0M6rsDTcw3ELFvsFIg=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2832ms
D, [2015-07-05T19:07:10.928902 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title", "text"=>"Text", "user_id"=>"5599643e726a7515c7000000", "_id"=><BSON::ObjectId:0x29699860 data=5599643e726a7515c7000006>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.5045ms
D, [2015-07-05T19:07:10.929647 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2894ms
D, [2015-07-05T19:07:10.930881 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.5369ms
D, [2015-07-05T19:07:10.932369 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"gWQU0M6rsDTcw3ELFvsFIg=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3357ms
D, [2015-07-05T19:07:10.933473 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:count=>"post", :query=>{}} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.3200ms
D, [2015-07-05T19:07:10.934544 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.4275ms
D, [2015-07-05T19:07:10.936653 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.3350ms
D, [2015-07-05T19:07:10.938120 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"invalid"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2608ms
D, [2015-07-05T19:07:10.940406 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 4", "text"=>"Text 4", "user_id"=>"5599643e726a7515c7000000", "_id"=><BSON::ObjectId:0x29202240 data=5599643e726a7515c7000007>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.8433ms
D, [2015-07-05T19:07:10.942444 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"gWQU0M6rsDTcw3ELFvsFIg=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3064ms
D, [2015-07-05T19:07:10.943164 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x29086140 data=5599643e726a7515c7000007>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2074ms
D, [2015-07-05T19:07:10.943790 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"post", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x29082940 data=5599643e726a7515c7000007>}, :u=>{"title"=>"new_name", "text"=>"new_text", "user_id"=>"5599643e726a7515c7000000"}, :multi=>false, :upsert=>true}], :writeConcern=>{:w=>1}, :ordere... flags=[] limit=-1 skip=0 project=nil | runtime: 0.3080ms
D, [2015-07-05T19:07:10.945101 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 5", "text"=>"Text 5", "user_id"=>"5599643e726a7515c7000000", "_id"=><BSON::ObjectId:0x28887360 data=5599643e726a7515c7000008>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.3021ms
D, [2015-07-05T19:07:10.946377 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"gWQU0M6rsDTcw3ELFvsFIg=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2439ms
D, [2015-07-05T19:07:10.946985 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x28801620 data=5599643e726a7515c7000008>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2549ms
D, [2015-07-05T19:07:10.947707 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"post", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x28798920 data=5599643e726a7515c7000008>}, :u=>{"title"=>"new_name", "text"=>"new_text", "user_id"=>"5599643e726a7515c7000000"}, :multi=>false, :upsert=>true}], :writeConcern=>{:w=>1}, :ordere... flags=[] limit=-1 skip=0 project=nil | runtime: 0.3402ms
D, [2015-07-05T19:07:10.949192 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 6", "text"=>"Text 6", "user_id"=>"5599643e726a7515c7000000", "_id"=><BSON::ObjectId:0x28741520 data=5599643e726a7515c7000009>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.3400ms
D, [2015-07-05T19:07:10.950720 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"gWQU0M6rsDTcw3ELFvsFIg=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3188ms
D, [2015-07-05T19:07:10.951413 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x28646900 data=5599643e726a7515c7000009>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2668ms
D, [2015-07-05T19:07:10.952353 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"post", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x28644100 data=5599643e726a7515c7000009>}, :u=>{"title"=>"new_name", "text"=>"new_text", "user_id"=>"5599643e726a7515c7000000"}, :multi=>false, :upsert=>true}], :writeConcern=>{:w=>1}, :ordere... flags=[] limit=-1 skip=0 project=nil | runtime: 0.4032ms
D, [2015-07-05T19:07:10.953185 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x28613280 data=5599643e726a7515c7000009>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2699ms
D, [2015-07-05T19:07:10.954587 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 7", "text"=>"Text 7", "user_id"=>"5599643e726a7515c7000000", "_id"=><BSON::ObjectId:0x28580120 data=5599643e726a7515c700000a>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.3417ms
D, [2015-07-05T19:07:10.957145 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 8", "text"=>"Text 8", "user_id"=>"5599643e726a7515c7000000", "_id"=><BSON::ObjectId:0x28464220 data=5599643e726a7515c700000b>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.3214ms
D, [2015-07-05T19:07:10.958342 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"invalid"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2029ms
D, [2015-07-05T19:07:10.959477 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.3860ms
D, [2015-07-05T19:07:10.960469 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 9", "text"=>"Text 9", "user_id"=>"5599643e726a7515c7000000", "_id"=><BSON::ObjectId:0x28352840 data=5599643e726a7515c700000c>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.4499ms
D, [2015-07-05T19:07:10.961825 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"gWQU0M6rsDTcw3ELFvsFIg=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3011ms
D, [2015-07-05T19:07:10.962379 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x28260920 data=5599643e726a7515c700000c>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.1934ms
D, [2015-07-05T19:07:10.962947 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:delete=>"post", :deletes=>[{:q=>{"_id"=><BSON::ObjectId:0x28257700 data=5599643e726a7515c700000c>}, :limit=>1}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.2689ms
D, [2015-07-05T19:07:10.964035 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.4354ms
D, [2015-07-05T19:07:10.965151 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 10", "text"=>"Text 10", "user_id"=>"5599643e726a7515c7000000", "_id"=><BSON::ObjectId:0x28166720 data=5599643e726a7515c700000d>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.5412ms
D, [2015-07-05T19:07:10.966508 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"gWQU0M6rsDTcw3ELFvsFIg=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2918ms
D, [2015-07-05T19:07:10.967062 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x28067260 data=5599643e726a7515c700000d>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.1924ms
D, [2015-07-05T19:07:10.967602 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:delete=>"post", :deletes=>[{:q=>{"_id"=><BSON::ObjectId:0x28039740 data=5599643e726a7515c700000d>}, :limit=>1}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.2828ms
D, [2015-07-05T19:07:10.968155 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:count=>"post", :query=>{}} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.1891ms
D, [2015-07-05T19:07:10.969019 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.4003ms
D, [2015-07-05T19:07:10.970232 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 11", "text"=>"Text 11", "user_id"=>"5599643e726a7515c7000000", "_id"=><BSON::ObjectId:0x27919840 data=5599643e726a7515c700000e>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.6137ms
D, [2015-07-05T19:07:10.971266 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user2@email.com", :_id=>{"$ne"=>nil}} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3281ms
D, [2015-07-05T19:07:10.971997 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"user", :documents=>[{"email"=>"user2@email.com", "name"=>"User2", "password"=>"7c4a8d09ca3762af61e59520943dc26494f8941b", "_id"=><BSON::ObjectId:0x27825700 data=5599643e726a7515c700000f>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.3786ms
D, [2015-07-05T19:07:10.972634 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 12", "text"=>"Text 12", "user_id"=>"5599643e726a7515c700000f", "_id"=><BSON::ObjectId:0x27850400 data=5599643e726a7515c7000010>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.2708ms
D, [2015-07-05T19:07:10.973929 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"gWQU0M6rsDTcw3ELFvsFIg=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2871ms
D, [2015-07-05T19:07:10.974499 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.post selector={"_id"=><BSON::ObjectId:0x27749640 data=5599643e726a7515c7000010>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2210ms
D, [2015-07-05T19:07:10.975913 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.5069ms
D, [2015-07-05T19:07:10.977080 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 13", "text"=>"Text 13", "user_id"=>"5599643e726a7515c7000000", "_id"=><BSON::ObjectId:0x27689920 data=5599643e726a7515c7000011>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.5655ms
D, [2015-07-05T19:07:10.979461 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:drop=>"post"} flags=[:slave_ok] limit=-1 skip=0 project=nil | runtime: 0.5720ms
D, [2015-07-05T19:07:10.980753 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"post", :documents=>[{"title"=>"Title 14", "text"=>"Text 14", "user_id"=>"5599643e726a7515c7000000", "_id"=><BSON::ObjectId:0x27548840 data=5599643e726a7515c7000012>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.6149ms
D, [2015-07-05T19:07:10.982180 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"invalid"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2716ms
D, [2015-07-05T19:07:10.983793 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user3@email.com", :_id=>{"$ne"=>nil}} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3731ms
D, [2015-07-05T19:07:10.984436 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:insert=>"user", :documents=>[{"email"=>"user3@email.com", "name"=>"User3", "password"=>"7c4a8d09ca3762af61e59520943dc26494f8941b", "_id"=><BSON::ObjectId:0x27441480 data=5599643e726a7515c7000013>}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.3119ms
D, [2015-07-05T19:07:10.986973 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user3@email.com", :password=>"7c4a8d09ca3762af61e59520943dc26494f8941b"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.4528ms
D, [2015-07-05T19:07:10.987666 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:session_token=>"qV4/hv3owvcjQ2N3qgMzHA=="} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2184ms
D, [2015-07-05T19:07:10.988238 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"user", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x27338600 data=5599643e726a7515c7000013>}, :u=>{"$set"=>{"session_token"=>"qV4/hv3owvcjQ2N3qgMzHA=="}}, :multi=>false, :upsert=>false}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.3088ms
D, [2015-07-05T19:07:10.990032 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:email=>"user3@email.com", :password=>"7c4a8d09ca3762af61e59520943dc26494f8941b"} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.3197ms
D, [2015-07-05T19:07:10.990687 #5575] DEBUG -- : MONGODB | COMMAND | namespace=grapi_test.$cmd selector={:update=>"user", :updates=>[{:q=>{"_id"=><BSON::ObjectId:0x27211820 data=5599643e726a7515c7000013>}, :u=>{"$set"=>{"session_token"=>"qV4/hv3owvcjQ2N3qgMzHA=="}}, :multi=>false, :upsert=>false}], :writeConcern=>{:w=>1}, :ordered=>true} flags=[] limit=-1 skip=0 project=nil | runtime: 0.3192ms
D, [2015-07-05T19:07:10.991313 #5575] DEBUG -- : MONGODB | QUERY | namespace=grapi_test.user selector={:_id=><BSON::ObjectId:0x27441480 data=5599643e726a7515c7000013>} flags=[:slave_ok] limit=0 skip=0 project=nil | runtime: 0.2122ms
